
2024/10/25 (19:05:10) | ===> btop++ v.1.4.0
2024/10/25 (19:05:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:07:58) | ===> btop++ v.1.4.0
2024/10/25 (19:07:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:08:28) | ===> btop++ v.1.4.0
2024/10/25 (19:08:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:10:48) | ===> btop++ v.1.4.0
2024/10/25 (19:10:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:11:48) | ===> btop++ v.1.4.0
2024/10/25 (19:11:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:12:11) | ===> btop++ v.1.4.0
2024/10/25 (19:12:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:12:30) | ===> btop++ v.1.4.0
2024/10/25 (19:12:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:17:07) | ===> btop++ v.1.4.0
2024/10/25 (19:17:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (22:36:09) | ===> btop++ v.1.4.0
2024/10/25 (22:36:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (11:58:49) | ===> btop++ v.1.4.0
2024/10/26 (11:58:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (22:38:14) | ===> btop++ v.1.4.0
2024/10/26 (22:38:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (22:38:18) | ===> btop++ v.1.4.0
2024/10/26 (22:38:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (15:28:39) | ===> btop++ v.1.4.0
2024/10/27 (15:28:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (17:02:43) | ===> btop++ v.1.4.0
2024/10/29 (17:02:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (21:44:05) | ===> btop++ v.1.4.0
2024/10/29 (21:44:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (16:39:58) | ===> btop++ v.1.4.0
2024/11/01 (16:39:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (17:52:13) | ===> btop++ v.1.4.0
2024/11/02 (17:52:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (23:33:36) | ===> btop++ v.1.4.0
2024/11/03 (23:33:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (10:06:34) | ===> btop++ v.1.4.0
2024/11/08 (10:06:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (15:05:00) | ===> btop++ v.1.4.0
2024/11/09 (15:05:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (20:00:04) | ===> btop++ v.1.4.0
2024/11/09 (20:00:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (18:49:53) | ===> btop++ v.1.4.0
2024/11/10 (18:49:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (14:56:55) | ===> btop++ v.1.4.0
2024/11/11 (14:56:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (22:34:16) | ===> btop++ v.1.4.0
2024/11/11 (22:34:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (09:27:06) | ===> btop++ v.1.4.0
2024/11/14 (09:27:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (10:03:01) | ===> btop++ v.1.4.0
2024/11/14 (10:03:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:46:45) | ===> btop++ v.1.4.0
2024/11/15 (15:46:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (00:08:58) | ===> btop++ v.1.4.0
2024/11/17 (00:08:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (22:34:50) | ===> btop++ v.1.4.0
2024/12/24 (22:34:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (23:00:53) | ===> btop++ v.1.4.0
2024/12/24 (23:00:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (23:01:54) | ===> btop++ v.1.4.0
2024/12/24 (23:01:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (23:02:14) | ===> btop++ v.1.4.0
2024/12/24 (23:02:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (11:22:02) | ===> btop++ v.1.4.0
2024/12/25 (11:22:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (22:12:31) | ===> btop++ v.1.4.0
2024/12/25 (22:12:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (00:32:51) | ===> btop++ v.1.4.0
2024/12/26 (00:32:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (23:46:14) | ===> btop++ v.1.4.0
2024/12/26 (23:46:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (23:49:26) | ===> btop++ v.1.4.0
2024/12/26 (23:49:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (07:13:51) | ===> btop++ v.1.4.0
2024/12/27 (07:13:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:52:53) | ===> btop++ v.1.4.0
2024/12/28 (13:52:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (09:30:40) | ===> btop++ v.1.4.0
2025/01/02 (09:30:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (14:48:26) | ===> btop++ v.1.4.0
2025/01/07 (14:48:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (17:35:38) | ===> btop++ v.1.4.0
2025/01/10 (17:35:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (21:58:49) | ===> btop++ v.1.4.0
2025/01/26 (21:58:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (21:00:44) | ===> btop++ v.1.4.0
2025/02/27 (21:00:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (21:28:05) | ===> btop++ v.1.4.0
2025/02/27 (21:28:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (13:04:53) | ===> btop++ v.1.4.0
2025/03/07 (13:04:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (11:48:23) | ===> btop++ v.1.4.0
2025/03/18 (11:48:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (18:38:26) | ===> btop++ v.1.4.0
2025/03/18 (18:38:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (18:38:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (19:36:17) | ===> btop++ v.1.4.0
2025/03/18 (19:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (19:40:54) | ===> btop++ v.1.4.0
2025/03/18 (19:40:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (20:33:12) | ===> btop++ v.1.4.0
2025/03/18 (20:33:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (20:33:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (20:57:32) | ===> btop++ v.1.4.0
2025/03/18 (20:57:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (20:57:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (22:56:10) | ===> btop++ v.1.4.0
2025/03/19 (22:56:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (22:56:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (22:56:38) | ===> btop++ v.1.4.0
2025/03/19 (22:56:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (22:56:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (22:56:47) | ===> btop++ v.1.4.0
2025/03/19 (22:56:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (22:56:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (18:31:00) | ===> btop++ v.1.4.0
2025/03/31 (18:31:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (18:31:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (19:06:48) | ===> btop++ v.1.4.0
2025/04/04 (19:06:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/04 (19:06:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (20:50:48) | ===> btop++ v.1.4.0
2025/04/05 (20:50:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/05 (20:50:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (21:48:21) | ===> btop++ v.1.4.0
2025/04/08 (21:48:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (21:48:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (11:26:39) | ===> btop++ v.1.4.0
2025/04/21 (11:26:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/21 (11:26:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (21:32:38) | ===> btop++ v.1.4.0
2025/04/23 (21:32:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (21:32:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/29 (11:53:11) | ===> btop++ v.1.4.0
2025/04/29 (11:53:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/29 (11:53:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/29 (15:23:22) | ERROR: Stall in Runner thread, restarting!
